id,title,type,area,priority,status,sprint,est_tokens,actual_tokens,variance,created_at,completed_at,file,description
BACKLOG-001,Add ES Module Type to package.json,chore,infra,Low,Obsolete,-,-,-,Electron main process uses CommonJS; Vite handles ESM for renderer,2025-12-15,,[BACKLOG-001.md](BACKLOG-001.md),
BACKLOG-002,Code-Split Large JS Bundle,chore,infra,Medium,Obsolete,-,-,-,Electron loads from local disk — no network benefit from splitting,2025-12-15,,[BACKLOG-002.md](BACKLOG-002.md),
BACKLOG-003,Improve First-Sync Time Estimation,feature,ui,Low,Pending,-,-,-,-,2025-12-15,,[BACKLOG-003.md](BACKLOG-003.md),
BACKLOG-004,Add Sync History/Logs Screen,feature,ui,Low,Pending,-,-,-,-,2025-12-15,,[BACKLOG-004.md](BACKLOG-004.md),
BACKLOG-005,Implement databaseService with LLM-Ready Patterns,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,[BACKLOG-005.md](BACKLOG-005.md),
BACKLOG-006,Dark Mode (Match System Settings),feature,ui,Medium,Deferred,-,-,-,-,2025-12-15,,[BACKLOG-006.md](BACKLOG-006.md),
BACKLOG-007,Add iPhone Sync Integration Tests,test,service,Medium,Pending,-,-,-,-,2025-12-15,,[BACKLOG-007.md](BACKLOG-007.md),
BACKLOG-008,Redesign New Transaction Flow,feature,ui,High,Completed,-,-,-,-,2025-12-15,2026-01-23,[BACKLOG-008.md](BACKLOG-008.md),
BACKLOG-009,Auth Popup Close Handler,bug,ui,High,Obsolete,-,-,-,-,2025-12-15,,[BACKLOG-009.md](BACKLOG-009.md),
BACKLOG-010,Default App Window to Full Screen,feature,electron,Low,Pending,-,-,-,-,2025-12-15,,[BACKLOG-010.md](BACKLOG-010.md),
BACKLOG-011,Manually Add Missing Emails to Audit,feature,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-012,Manually Add Missing Texts to Audit,feature,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-013,Duplicate Transaction Detection,feature,service,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-014,Update Joyride Demo for New Users,feature,ui,Medium,Completed,SPRINT-011,~35K,~18K,-72%,2025-12-15,2026-01-01,[BACKLOG-014.md](BACKLOG-014.md),
BACKLOG-015,Display Last Sync Time in UI,feature,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-016,Refactor Contact Import,refactor,service,High,Completed,-,-,-,Reference model implemented: contacts + contact_emails/phones + transaction_participants,2025-12-15,2026-02-16,-,
BACKLOG-017,Naming Convention Documentation,docs,infra,Low,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-018,Smart Contact Sync,feature,service,High,Pending,-,-,-,-,2025-12-15,,-,
